time(s),raw_intensity,transmitted_intensity,polarization_angle(deg),gw_metric_factor,epsilon(J/m^3),pressure(J/m^3),spin_density
0.0000000000000003327594,1,0.000000000000000000000000000000003749399456654644,180,1,12481384627773765000000000000000000,1872569562302592800000000000000000,111720117381668400
0.00000000000000033830539,1,0.000000000000000000000000000000003749399456654644,180,1,11861963462260763000000000000000000,1779617775763655200000000000000000,108912641425413810
0.00000000000000034385138,1,0.000000000000000000000000000000003749399456654644,180,1,11275960093705571000000000000000000,1691683813791225300000000000000000,106188323716431140
0.00000000000000034939737,1,0.000000000000000000000000000000003749399456654644,180,1,10721571630609334000000000000000000,1608496437611990400000000000000000,103545022239648660
0.00000000000000035494336,1,0.000000000000000000000000000000003749399456654644,180,1,10197092447542562000000000000000000,1529799140305120000000000000000000,100980653828060370
0.00000000000000036048935,1,0.000000000000000000000000000000003749399456654644,180,1,9700908937636730000000000000000000,1455349332086578800000000000000000,98493192341586380
0.00000000000000036603534,1,0.000000000000000000000000000000003749399456654644,180,1,9231494548179201000000000000000000,1384917573876859000000000000000000,96080666880383400
0.00000000000000037158132999999997,1,0.000000000000000000000000000000003749399456654644,180,1,8787405084037999000000000000000000,1318286855545348000000000000000000,93741160031429090
0.00000000000000037712731999999997,1,0.000000000000000000000000000000003749399456654644,180,1,8367274264466979000000000000000000,1255251915664481400000000000000000,91472806147329810
0.00000000000000038267331,1,0.000000000000000000000000000000003749399456654644,180,1,7969809519621565000000000000000000,1195618599959834500000000000000000,89273789656435920
0.0000000000000003882193,1,0.000000000000000000000000000000003749399456654644,180,1,7593788013852646000000000000000000,1139203255930058000000000000000000,87142343403494990
0.00000000000000039376529,1,0.000000000000000000000000000000003749399456654644,180,1,7238052883543867000000000000000000,1085832161348893500000000000000000,85076747020227950
0.00000000000000039931128,1,0.000000000000000000000000000000003749399456654644,180,1,6901509677917830000000000000000000,1035340984561999200000000000000000,83075325325380640
0.00000000000000040485727,1,0.000000000000000000000000000000003749399456654644,180,1,6583122991860876000000000000000000,987574274662288400000000000000000,81136446753976580
0.00000000000000041040326,1,0.000000000000000000000000000000003749399456654644,180,1,6281913280407156000000000000000000,942384979775460600000000000000000,79258521815683360
0.00000000000000041594924999999997,1,0.000000000000000000000000000000003749399456654644,180,1,5996953845081383000000000000000000,899633991816879000000000000000000,77440001582395280
0.00000000000000042149524,1,0.000000000000000000000000000000003749399456654644,180,1,5727367982828531000000000000000000,859189716195662300000000000000000,75679376205334380
0.00000000000000042704123,1,0.000000000000000000000000000000003749399456654644,180,1,5472326288758894000000000000000000,820927665044353700000000000000000,73975173462175090
0.00000000000000043258722,1,0.000000000000000000000000000000003749399456654644,180,1,5231044104410139000000000000000000,784730072645011000000000000000000,72325957334902510
0.00000000000000043813321,1,0.000000000000000000000000000000003749399456654644,180,1,5002779103675744600000000000000000,750485531806559200000000000000000,70730326619320410
0.0000000000000004436792,1,0.000000000000000000000000000000003749399456654644,180,1,4786829008972691000000000000000000,718088650025046300000000000000000,69186913567326376
0.00000000000000044922519,1,0.000000000000000000000000000000003749399456654644,180,1,4582529430621995000000000000000000,687439724329051900000000000000000,67694382563267350
0.00000000000000045477118,1,0.000000000000000000000000000000003749399456654644,180,1,4389251822794759000000000000000000,658444433777690200000000000000000,66251428835873110
0.00000000000000046031717,1,0.000000000000000000000000000000003749399456654644,180,1,4206401549734996000000000000000000,631013548639092100000000000000000,64856777207436050
0.00000000000000046586316,1,0.000000000000000000000000000000003749399456654644,180,1,4033416056309831000000000000000000,605062655333465800000000000000000,63509180882056980
0.00000000000000047140915,1,0.000000000000000000000000000000003749399456654644,180,1,3869763137258584000000000000000000,580511896277243700000000000000000,62207420274904376
0.00000000000000047695514,1,0.000000000000000000000000000000003749399456654644,180,1,3714939299815936000000000000000000,557285723813820100000000000000000,60950301884534880
0.0000000000000004825011299999999,1,0.000000000000000000000000000000003749399456654644,180,1,3568468214671640000000000000000000,535312667462260600000000000000000,59736657210390000
